(0, 5, -1, -1, 7):[51, 51, 896]
(0, 5, 1, -1, 7):[51, 51, 421]
(0, 4, 1, -1, 7):[51, 51, 293]
(1, 4, 1, -1, 7):[51, 51, 132]
(1, 3, 1, -1, 7):[51, 51, 66]
(2, 3, 1, -1, 7):[51, 51, 44]
(2, 2, 1, -1, 7):[51, 52, 76]
(3, 2, 1, -1, 7):[51, 51, 34]
(4, 1, 1, -1, 7):[51, 59, 80]
(7, 1, 1, 1, 7):[51, 51, 44]
(8, 2, 1, 1, 7):[51, 51, 222]
(9, 2, 1, 1, 7):[51, 51, 33]
(9, 3, 1, 1, 7):[51, 51, 59]
(10, 3, 1, 1, 7):[51, 51, 41]
(10, 4, 1, 1, 7):[51, 51, 184]
(11, 4, 1, 1, 7):[57, 51, 52]
(11, 5, 1, 1, 7):[51, 51, 3203]
(11, 5, -1, 1, 7):[51, 51, 4]
(10, 6, -1, 1, 7):[51, 514, 54]
(9, 7, -1, 1, 7):[51, 51, 557]
(8, 8, -1, 1, 7):[51, 51, 364]
(3, 9, -1, -1, 7):[51, 51, 5441]
(2, 8, -1, -1, 7):[51, 51, 7485]
(1, 7, -1, -1, 7):[51, 51, 5317]
(0, 6, -1, -1, 7):[51, 51, 1424]
(5, 0, 1, 1, 7):[51, 51, 48]
(6, 1, 1, 1, 7):[51, 51, 45]
(7, 2, 1, 1, 7):[51, 51, 476]
(8, 3, 1, 1, 7):[51, 51, 403]
(9, 4, 1, 1, 7):[54, 92, 4385]
(10, 5, 1, 1, 7):[12580, 51, 75]
(11, 6, 1, 1, 7):[19655, 62, 77]
(11, 7, 1, 1, 7):[51, 11559, 51]
(7, 10, -1, -1, 7):[51, 51, 12130]
(6, 9, -1, -1, 7):[51, 51, 5731]
(5, 9, -1, -1, 7):[51, 4336, 72]
(5, 8, -1, -1, 7):[51, 51, 2215]
(4, 7, -1, -1, 7):[51, 51, 4182]
(3, 7, -1, -1, 7):[51, 51, 5861]
(3, 6, -1, -1, 7):[51, 51, 1456]
(2, 6, -1, -1, 7):[51, 51, 1667]
(2, 5, -1, -1, 7):[51, 634, 81]
(1, 5, -1, -1, 7):[51, 51, 584]
(1, 4, -1, -1, 7):[51, 51, 682]
(2, 0, 1, -1, 7):[51, 51, 81]
(3, 0, 1, 1, 7):[51, 51, 53]
(3, 1, 1, 1, 7):[51, 51, 428]
(4, 1, 1, 1, 7):[51, 51, 71]
(4, 2, 1, 1, 7):[51, 512, 53]
(5, 2, 1, 1, 7):[51, 51, 164]
(5, 3, 1, 1, 7):[51, 65, 1794]
(6, 3, 1, 1, 7):[51, 51, 3185]
(6, 4, 1, 1, 7):[16370, 53, 59]
(7, 4, 1, 1, 7):[55, 18796, 83]
(7, 5, 1, 1, 7):[51, 22327, 56]
(8, 6, 1, 1, 7):[51, 11205, 59]
(8, 7, 1, 1, 7):[51, 6082, 55]
(9, 7, 1, 1, 7):[53, 4132, 55]
(9, 8, 1, 1, 7):[63, 2880, 71]
(10, 8, 1, 1, 7):[58, 3240, 51]
(10, 9, 1, 1, 7):[64, 2126, 74]
(11, 9, 1, 1, 7):[168, 80, 1746]
(11, 10, 1, 1, 7):[1150, 98, 147]
(8, 6, -1, 0, 7):[51, 51, 4427]
(7, 6, -1, 0, 7):[51, 51, 15168]
(6, 6, -1, 0, 7):[51, 51, 14139]
(5, 6, -1, 0, 7):[51, 57, 12658]
(5, 5, -1, 0, 7):[51, 51, 2901]
(4, 5, -1, 0, 7):[51, 51, 1450]
(3, 5, -1, 0, 7):[51, 51, 1067]
(2, 5, -1, 0, 7):[51, 51, 514]
(2, 4, -1, 0, 7):[51, 51, 22]
(1, 4, -1, 0, 7):[51, 51, 120]
(0, 4, -1, 0, 7):[51, 62, 60]
(0, 4, 1, 0, 7):[51, 51, 49]
(0, 3, 1, 0, 7):[51, 51, 35]
(1, 3, 1, 0, 7):[51, 51, 28]
(2, 3, 1, 0, 7):[51, 51, 52]
(3, 3, 1, 0, 7):[51, 51, 48]
(3, 2, 1, 0, 7):[51, 51, 125]
(4, 2, 1, 0, 7):[51, 51, 132]
(5, 2, 1, 0, 7):[51, 51, 80]
(6, 2, 1, 0, 7):[51, 51, 82]
(6, 1, 1, 0, 7):[51, 51, 79]
(7, 1, 1, 0, 7):[64, 62, 58]
(8, 1, 1, 0, 7):[58, 67, 68]
(9, 1, 1, 0, 7):[57, 57, 97]
(10, 0, 1, 0, 7):[140, 63, 70]
(11, 0, 1, 0, 7):[59, 59, 188]
(1, 9, -1, 0, 7):[5604, 169, 100]
(0, 9, -1, 0, 7):[6188, 83, 200]
(9, 10, 1, 0, 7):[58, 251, 59]
(10, 10, 1, 0, 7):[59, 111, 64]
(11, 10, 1, 0, 7):[60, 76, 67]
(10, 7, 1, 0, 8):[58, 103787, 52]
(11, 7, 1, 0, 8):[61, 4407, 14242]
(11, 8, -1, 1, 8):[51, 51, 12257]
(10, 9, -1, 1, 8):[51, 51, 10611]
(9, 9, -1, 1, 8):[51, 51, 4567]
(9, 10, -1, 1, 8):[51, 51, 6214]
(8, 10, -1, 1, 8):[51, 51, 6305]
(8, 11, -1, 1, 8):[51, 51, 13359]
(7, 11, -1, 1, 8):[51, 51, 20742]
(6, 11, -1, -1, 8):[51, 51, 19231]
(5, 11, -1, -1, 8):[51, 51, 12900]
(5, 10, -1, -1, 8):[51, 51, 14225]
(4, 10, -1, -1, 8):[51, 13249, 52]
(4, 9, -1, -1, 8):[51, 13834, 51]
(3, 9, -1, -1, 8):[51, 51, 13570]
(2, 8, -1, -1, 8):[51, 51, 5058]
(1, 7, -1, -1, 8):[51, 51, 2143]
(0, 7, -1, -1, 8):[51, 51, 456]
(0, 6, -1, -1, 8):[51, 51, 288]
(0, 6, 1, -1, 8):[51, 51, 66]
(0, 5, 1, -1, 8):[51, 51, 35]
(1, 5, 1, -1, 8):[51, 51, 25]
(2, 4, 1, -1, 8):[51, 51, 25]
(3, 4, 1, -1, 8):[51, 51, 15]
(3, 3, 1, -1, 8):[51, 51, 17]
(4, 3, 1, -1, 8):[51, 51, 25]
(4, 2, 1, -1, 8):[51, 51, 23]
(5, 2, 1, -1, 8):[51, 51, 5]
(5, 1, 1, -1, 8):[51, 51, 37]
(6, 1, 1, -1, 8):[51, 51, 34]
(6, 0, 1, -1, 8):[51, 51, 41]
(7, 0, 1, -1, 8):[51, 51, 26]
(8, 0, 1, 1, 8):[51, 51, 37]
(9, 0, 1, 1, 8):[51, 51, 54]
(9, 1, 1, 1, 8):[51, 51, 34]
(10, 1, 1, 1, 8):[55, 53, 65]
(10, 2, 1, 1, 8):[51, 51, 35]
(11, 2, 1, 1, 8):[63, 53, 51]
(9, 7, 1, 0, 8):[168, 1213, 90]
(10, 8, -1, 1, 8):[51, 51, 2129]
(8, 9, -1, 1, 8):[51, 51, 6826]
(7, 10, -1, 1, 8):[51, 51, 10910]
(6, 11, -1, 1, 8):[51, 51, 13916]
(5, 11, -1, 1, 8):[51, 51, 4607]
(4, 11, -1, -1, 8):[51, 51, 4317]
(3, 11, -1, -1, 8):[51, 70, 112]
(3, 10, -1, -1, 8):[51, 51, 8037]
(2, 10, -1, -1, 8):[51, 51, 2542]
(1, 10, -1, -1, 8):[51, 51, 342]
(1, 9, -1, -1, 8):[51, 51, 582]
(0, 9, -1, -1, 8):[51, 51, 195]
(0, 8, 1, -1, 8):[51, 51, 119]
(1, 8, 1, -1, 8):[51, 51, 163]
(1, 7, 1, -1, 8):[51, 51, 78]
(2, 7, 1, -1, 8):[51, 51, 130]
(3, 6, 1, -1, 8):[51, 51, 91]
(4, 6, 1, -1, 8):[51, 51, 127]
(4, 5, 1, -1, 8):[51, 51, 49]
(5, 5, 1, -1, 8):[51, 51, 56]
(6, 5, 1, -1, 8):[52, 54, 51]
(6, 4, 1, -1, 8):[51, 51, 33]
(7, 4, 1, -1, 8):[56, 57, 59]
(8, 3, 1, -1, 8):[100, 90, 57]
(9, 3, 1, -1, 8):[78, 72, 63]
(10, 2, 1, -1, 8):[89, 57, 72]
(11, 2, 1, -1, 8):[65, 102, 66]
(11, 1, 1, -1, 8):[90, 61, 83]
(7, 6, 1, 0, 8):[63, 3314, 125]
(8, 6, 1, 0, 8):[297, 105, 5617]
(7, 11, -1, -1, 8):[51, 12662, 57]
(3, 8, -1, -1, 8):[51, 9204, 51]
(2, 7, -1, -1, 8):[51, 51, 5174]
(1, 6, -1, -1, 8):[51, 51, 443]
(0, 5, -1, -1, 8):[51, 51, 65]
(1, 4, 1, -1, 8):[51, 51, 29]
(2, 3, 1, -1, 8):[51, 51, 14]
(3, 2, 1, -1, 8):[51, 51, 51]
(4, 1, 1, -1, 8):[51, 51, 57]
(5, 0, 1, -1, 8):[51, 51, 86]
(6, 0, 1, 1, 8):[51, 58, 52]
(7, 1, 1, 1, 8):[51, 51, 36]
(8, 1, 1, 1, 8):[53, 57, 51]
(9, 2, 1, 1, 8):[51, 51, 38]
(10, 3, 1, 1, 8):[51, 51, 42]
(11, 4, 1, 1, 8):[51, 51, 23]
(11, 8, -1, 0, 8):[51, 57, 9069]
(10, 8, -1, 0, 8):[51, 66, 1216]
(9, 8, -1, 0, 8):[51, 55, 89]
(8, 8, -1, 0, 8):[51, 21887, 51]
(8, 9, -1, 0, 8):[3943, 193, 1596]
(7, 9, -1, 0, 8):[51, 5273, 344]
(6, 9, -1, 0, 8):[51, 2276, 87]
(5, 9, -1, 0, 8):[51, 115, 2664]
(4, 9, -1, 0, 8):[170, 1641, 161]
(4, 10, -1, 0, 8):[51, 369, 319]
(3, 10, -1, 0, 8):[98, 272, 129]
(2, 10, -1, 0, 8):[156, 300, 168]
(1, 10, -1, 0, 8):[307, 122, 110]
(1, 11, -1, 0, 8):[215, 156, 230]
(0, 11, -1, 0, 8):[51, 468, 154]
(0, 11, 1, 0, 8):[51, 289, 132]
(1, 11, 1, 0, 8):[51, 449, 133]
(2, 11, 1, 0, 8):[51, 494, 127]
(3, 11, 1, 0, 8):[58, 1225, 94]
(4, 11, 1, 0, 8):[51, 1915, 69]
(5, 11, 1, 0, 8):[51, 4684, 73]
(6, 10, 1, 0, 8):[51, 8560, 60]
(7, 10, 1, 0, 8):[51, 4793, 74]
(8, 10, 1, 0, 8):[153, 2868, 60]
(9, 10, 1, 0, 8):[51, 1413, 54]
(9, 9, 1, 0, 8):[77, 7184, 58]
(10, 9, 1, 0, 8):[119, 4304, 51]
(11, 9, 1, 0, 8):[51, 3591, 51]
(11, 7, -1, 0, 8):[51, 51, 8080]
(10, 7, -1, 0, 8):[51, 51, 568]
(9, 7, -1, 0, 8):[51, 51, 80]
(8, 7, -1, 0, 8):[51, 51, 20566]
(7, 7, -1, 0, 8):[51, 55, 15432]
(7, 6, -1, 0, 8):[51, 51, 1877]
(6, 6, -1, 0, 8):[51, 51, 1452]
(5, 6, -1, 0, 8):[51, 875, 80]
(4, 6, -1, 0, 8):[51, 1522, 207]
(3, 6, -1, 0, 8):[51, 2579, 146]
(2, 5, -1, 0, 8):[51, 147, 488]
(1, 5, -1, 0, 8):[51, 66, 1131]
(0, 5, -1, 0, 8):[51, 51, 1376]
(0, 5, 1, 0, 8):[51, 51, 274]
(1, 5, 1, 0, 8):[51, 51, 24]
(1, 4, 1, 0, 8):[51, 51, 17]
(2, 4, 1, 0, 8):[51, 51, 41]
(3, 4, 1, 0, 8):[51, 51, 23]
(4, 4, 1, 0, 8):[51, 51, 15]
(5, 4, 1, 0, 8):[51, 51, 17]
(5, 3, 1, 0, 8):[51, 51, 23]
(6, 3, 1, 0, 8):[51, 51, 29]
(7, 3, 1, 0, 8):[51, 51, 21]
(8, 3, 1, 0, 8):[51, 51, 26]
(9, 3, 1, 0, 8):[51, 51, 21]
(10, 2, 1, 0, 8):[54, 56, 61]
(11, 2, 1, 0, 8):[75, 57, 60]
(2, 9, -1, -1, 8):[51, 51, 5307]
(1, 8, -1, -1, 8):[51, 51, 1573]
(0, 8, -1, -1, 8):[51, 51, 259]
(0, 7, 1, -1, 8):[51, 51, 104]
(1, 6, 1, -1, 8):[51, 51, 54]
(2, 6, 1, -1, 8):[51, 51, 44]
(2, 5, 1, -1, 8):[51, 51, 25]
(3, 5, 1, -1, 8):[51, 51, 36]
(4, 4, 1, -1, 8):[51, 51, 19]
(5, 4, 1, -1, 8):[51, 51, 25]
(5, 3, 1, -1, 8):[51, 51, 21]
(6, 3, 1, -1, 8):[51, 51, 18]
(7, 2, 1, -1, 8):[51, 51, 33]
(8, 2, 1, -1, 8):[53, 68, 51]
(8, 1, 1, -1, 8):[51, 51, 49]
(9, 1, 1, -1, 8):[55, 71, 52]
(10, 0, 1, -1, 8):[107, 58, 52]
(11, 0, 1, -1, 8):[68, 51, 101]
(11, 0, 1, 1, 8):[70, 64, 84]
(6, 10, -1, -1, 8):[51, 11641, 52]
(5, 9, -1, -1, 8):[51, 8806, 53]
(4, 8, -1, -1, 8):[51, 51, 6656]
(0, 4, 1, -1, 8):[51, 51, 40]
(1, 3, 1, -1, 8):[51, 51, 35]
(2, 2, 1, -1, 8):[51, 54, 67]
(3, 1, 1, -1, 8):[51, 51, 68]
(4, 0, 1, -1, 8):[51, 51, 52]
(8, 2, 1, 1, 8):[51, 51, 30]
(9, 3, 1, 1, 8):[51, 51, 31]
(10, 4, 1, 1, 8):[51, 51, 26]
(11, 5, 1, 1, 8):[51, 51, 47]
(5, 0, 1, 1, 8):[51, 51, 45]
(6, 1, 1, 1, 8):[51, 51, 22]
(7, 0, 1, 1, 8):[51, 51, 47]
(11, 3, 1, 1, 8):[51, 51, 49]
(6, 9, -1, -1, 8):[51, 51, 3889]
(5, 8, -1, -1, 8):[51, 51, 3649]
(4, 7, -1, -1, 8):[51, 51, 1171]
(3, 7, -1, -1, 8):[51, 51, 963]
(3, 6, -1, -1, 8):[51, 51, 578]
(2, 6, -1, -1, 8):[51, 51, 309]
(2, 5, -1, -1, 8):[51, 51, 373]
(1, 5, -1, -1, 8):[51, 51, 217]
(1, 4, -1, -1, 8):[51, 51, 337]
(0, 4, -1, -1, 8):[51, 51, 48]
(0, 3, -1, -1, 8):[51, 51, 105]
(0, 3, 1, -1, 8):[51, 51, 40]
(0, 2, 1, -1, 8):[51, 51, 86]
(1, 2, 1, -1, 8):[51, 51, 57]
(1, 1, 1, -1, 8):[51, 51, 79]
(2, 0, 1, -1, 8):[51, 51, 36]
(3, 0, 1, 1, 8):[51, 51, 20]
(4, 1, 1, 1, 8):[51, 51, 103]
(5, 2, 1, 1, 8):[51, 55, 484]
(6, 3, 1, 1, 8):[51, 51, 1021]
(7, 4, 1, 1, 8):[51, 1256, 70]
(8, 5, 1, 1, 8):[51, 16041, 75]
(9, 6, 1, 1, 8):[51, 18121, 96]
(9, 7, 1, 1, 8):[72, 11586, 56]
